county,precinct,candidate,measure,value
Adair,1NW ADAIR,Bennet,expression_1,0
Adair,1NW ADAIR,Bennet,expression_2,0
Adair,1NW ADAIR,Bennet,sde,0
Adair,1NW ADAIR,Biden,expression_1,6
Adair,1NW ADAIR,Biden,expression_2,6
Adair,1NW ADAIR,Biden,sde,0.07840000000000001
Adair,1NW ADAIR,Bloomberg,expression_1,0
Adair,1NW ADAIR,Bloomberg,expression_2,0
Adair,1NW ADAIR,Bloomberg,sde,0
Adair,1NW ADAIR,Buttigieg,expression_1,8
Adair,1NW ADAIR,Buttigieg,expression_2,8
Adair,1NW ADAIR,Buttigieg,sde,0.07840000000000001
Adair,1NW ADAIR,Delaney,expression_1,0
Adair,1NW ADAIR,Delaney,expression_2,0
Adair,1NW ADAIR,Delaney,sde,0
Adair,1NW ADAIR,Gabbard,expression_1,0
Adair,1NW ADAIR,Gabbard,expression_2,0
Adair,1NW ADAIR,Gabbard,sde,0
Adair,1NW ADAIR,Klobuchar,expression_1,8
Adair,1NW ADAIR,Klobuchar,expression_2,8
Adair,1NW ADAIR,Klobuchar,sde,0.15690000000000004
Adair,1NW ADAIR,Other,expression_1,0
Adair,1NW ADAIR,Other,expression_2,0
Adair,1NW ADAIR,Other,sde,0
Adair,1NW ADAIR,Patrick,expression_1,0
Adair,1NW ADAIR,Patrick,expression_2,0
Adair,1NW ADAIR,Patrick,sde,0
Adair,1NW ADAIR,Sanders,expression_1,9
Adair,1NW ADAIR,Sanders,expression_2,9
Adair,1NW ADAIR,Sanders,sde,0.15690000000000004
Adair,1NW ADAIR,Steyer,expression_1,0
Adair,1NW ADAIR,Steyer,expression_2,0
Adair,1NW ADAIR,Steyer,sde,0
Adair,1NW ADAIR,Uncommitted,expression_1,0
Adair,1NW ADAIR,Uncommitted,expression_2,0
Adair,1NW ADAIR,Uncommitted,sde,0
Adair,1NW ADAIR,Warren,expression_1,9
Adair,1NW ADAIR,Warren,expression_2,9
Adair,1NW ADAIR,Warren,sde,0.15690000000000004
Adair,1NW ADAIR,Yang,expression_1,0
Adair,1NW ADAIR,Yang,expression_2,0
Adair,1NW ADAIR,Yang,sde,0
Adair,2NE STUART,Bennet,expression_1,0
Adair,2NE STUART,Bennet,expression_2,0
Adair,2NE STUART,Bennet,sde,0
Adair,2NE STUART,Biden,expression_1,6
Adair,2NE STUART,Biden,expression_2,0
Adair,2NE STUART,Biden,sde,0
Adair,2NE STUART,Bloomberg,expression_1,0
Adair,2NE STUART,Bloomberg,expression_2,0
Adair,2NE STUART,Bloomberg,sde,0
Adair,2NE STUART,Buttigieg,expression_1,10
Adair,2NE STUART,Buttigieg,expression_2,15
Adair,2NE STUART,Buttigieg,sde,0.3137
Adair,2NE STUART,Delaney,expression_1,0
Adair,2NE STUART,Delaney,expression_2,0
Adair,2NE STUART,Delaney,sde,0
Adair,2NE STUART,Gabbard,expression_1,0
Adair,2NE STUART,Gabbard,expression_2,0
Adair,2NE STUART,Gabbard,sde,0
Adair,2NE STUART,Klobuchar,expression_1,9
Adair,2NE STUART,Klobuchar,expression_2,10
Adair,2NE STUART,Klobuchar,sde,0.15690000000000004
Adair,2NE STUART,Other,expression_1,0
Adair,2NE STUART,Other,expression_2,0
Adair,2NE STUART,Other,sde,0
Adair,2NE STUART,Patrick,expression_1,0
Adair,2NE STUART,Patrick,expression_2,0
Adair,2NE STUART,Patrick,sde,0
Adair,2NE STUART,Sanders,expression_1,10
Adair,2NE STUART,Sanders,expression_2,10
Adair,2NE STUART,Sanders,sde,0.2353
Adair,2NE STUART,Steyer,expression_1,7
Adair,2NE STUART,Steyer,expression_2,7
Adair,2NE STUART,Steyer,sde,0.15690000000000004
Adair,2NE STUART,Uncommitted,expression_1,0
Adair,2NE STUART,Uncommitted,expression_2,0
Adair,2NE STUART,Uncommitted,sde,0
Adair,2NE STUART,Warren,expression_1,0
Adair,2NE STUART,Warren,expression_2,0
Adair,2NE STUART,Warren,sde,0
Adair,2NE STUART,Yang,expression_1,1
Adair,2NE STUART,Yang,expression_2,1
Adair,2NE STUART,Yang,sde,0
Adair,3SW FONTANELLE,Bennet,expression_1,0
Adair,3SW FONTANELLE,Bennet,expression_2,0
Adair,3SW FONTANELLE,Bennet,sde,0
Adair,3SW FONTANELLE,Biden,expression_1,9
Adair,3SW FONTANELLE,Biden,expression_2,9
Adair,3SW FONTANELLE,Biden,sde,0.15690000000000004
Adair,3SW FONTANELLE,Bloomberg,expression_1,0
Adair,3SW FONTANELLE,Bloomberg,expression_2,0
Adair,3SW FONTANELLE,Bloomberg,sde,0
Adair,3SW FONTANELLE,Buttigieg,expression_1,0
Adair,3SW FONTANELLE,Buttigieg,expression_2,0
Adair,3SW FONTANELLE,Buttigieg,sde,0
Adair,3SW FONTANELLE,Delaney,expression_1,0
Adair,3SW FONTANELLE,Delaney,expression_2,0
Adair,3SW FONTANELLE,Delaney,sde,0
Adair,3SW FONTANELLE,Gabbard,expression_1,0
Adair,3SW FONTANELLE,Gabbard,expression_2,0
Adair,3SW FONTANELLE,Gabbard,sde,0
Adair,3SW FONTANELLE,Klobuchar,expression_1,1
Adair,3SW FONTANELLE,Klobuchar,expression_2,0
Adair,3SW FONTANELLE,Klobuchar,sde,0
Adair,3SW FONTANELLE,Other,expression_1,0
Adair,3SW FONTANELLE,Other,expression_2,0
Adair,3SW FONTANELLE,Other,sde,0
Adair,3SW FONTANELLE,Patrick,expression_1,0
Adair,3SW FONTANELLE,Patrick,expression_2,0
Adair,3SW FONTANELLE,Patrick,sde,0
Adair,3SW FONTANELLE,Sanders,expression_1,4
Adair,3SW FONTANELLE,Sanders,expression_2,7
Adair,3SW FONTANELLE,Sanders,sde,0.15690000000000004
Adair,3SW FONTANELLE,Steyer,expression_1,1
Adair,3SW FONTANELLE,Steyer,expression_2,0
Adair,3SW FONTANELLE,Steyer,sde,0
Adair,3SW FONTANELLE,Uncommitted,expression_1,0
Adair,3SW FONTANELLE,Uncommitted,expression_2,0
Adair,3SW FONTANELLE,Uncommitted,sde,0
Adair,3SW FONTANELLE,Warren,expression_1,4
Adair,3SW FONTANELLE,Warren,expression_2,0
Adair,3SW FONTANELLE,Warren,sde,0
Adair,3SW FONTANELLE,Yang,expression_1,15
Adair,3SW FONTANELLE,Yang,expression_2,15
Adair,3SW FONTANELLE,Yang,sde,0.3922
Adair,4SE ORIENT,Bennet,expression_1,0
Adair,4SE ORIENT,Bennet,expression_2,0
Adair,4SE ORIENT,Bennet,sde,0
Adair,4SE ORIENT,Biden,expression_1,7
Adair,4SE ORIENT,Biden,expression_2,7
Adair,4SE ORIENT,Biden,sde,0.15690000000000004
Adair,4SE ORIENT,Bloomberg,expression_1,0
Adair,4SE ORIENT,Bloomberg,expression_2,0
Adair,4SE ORIENT,Bloomberg,sde,0
Adair,4SE ORIENT,Buttigieg,expression_1,6
Adair,4SE ORIENT,Buttigieg,expression_2,6
Adair,4SE ORIENT,Buttigieg,sde,0.15690000000000004
Adair,4SE ORIENT,Delaney,expression_1,0
Adair,4SE ORIENT,Delaney,expression_2,0
Adair,4SE ORIENT,Delaney,sde,0
Adair,4SE ORIENT,Gabbard,expression_1,0
Adair,4SE ORIENT,Gabbard,expression_2,0
Adair,4SE ORIENT,Gabbard,sde,0
Adair,4SE ORIENT,Klobuchar,expression_1,6
Adair,4SE ORIENT,Klobuchar,expression_2,6
Adair,4SE ORIENT,Klobuchar,sde,0.15690000000000004
Adair,4SE ORIENT,Other,expression_1,0
Adair,4SE ORIENT,Other,expression_2,0
Adair,4SE ORIENT,Other,sde,0
Adair,4SE ORIENT,Patrick,expression_1,0
Adair,4SE ORIENT,Patrick,expression_2,0
Adair,4SE ORIENT,Patrick,sde,0
Adair,4SE ORIENT,Sanders,expression_1,6
Adair,4SE ORIENT,Sanders,expression_2,6
Adair,4SE ORIENT,Sanders,sde,0.07840000000000001
Adair,4SE ORIENT,Steyer,expression_1,0
Adair,4SE ORIENT,Steyer,expression_2,0
Adair,4SE ORIENT,Steyer,sde,0
Adair,4SE ORIENT,Uncommitted,expression_1,0
Adair,4SE ORIENT,Uncommitted,expression_2,0
Adair,4SE ORIENT,Uncommitted,sde,0
